category,car_name,image_url,2025-09-23
Premium,Audi RS 6 Avant Chase Fast Wagons 1:64 JBK71 Black,https://retromagaz.com/uploads/products/01/18/site_fu4k30lrp_795c56e4.webp,2599.0
Super Treasure Hunt,'20 Dodge Charger Hellcat Super Treasure Hunt STH Muscle Mania 1:64 JCB47 Green,https://retromagaz.com/uploads/products/88/64/site_funu7849o_2dc836af.webp,2199.0
Premium,LB-WORKS McLaren 720S Chase Silhouettes 1:64 JBK62 Blue,https://retromagaz.com/uploads/products/09/8f/site_fuidboktb_1d954afb.webp,2999.0
Premium,Back to the Future Time Machine Pop Culture 1:64 JBL65 Silver,https://retromagaz.com/uploads/products/f6/21/site_fukn13510_91d2ee86.webp,649.0
MainLine,Porsche Panamera Turbo S E-Hybrid Sport Turismo Hybrid Speed 1:64 JCB79 Blue,https://retromagaz.com/uploads/products/8f/16/site_futdtdquj_01f71168.webp,229.0
MainLine,Lamborghini Sian FKP 37 Hybrid Speed 1:64 JCB77 Red,https://retromagaz.com/uploads/products/1f/5a/site_fv40r7d7e_40e272bf.webp,269.0
Matchbox,2024 Mercedes-Benz G 580 With EQ Technology Moving Parts 1:64 JBW92 Black,https://retromagaz.com/uploads/products/ad/d2/site_fujrltpg4_d2f8d74a.webp,449.0
Treasure Hunts,Rig Storm Netflix Treasure Hunts X-Raycers 1:64 JBC24 Purple,https://retromagaz.com/uploads/products/3d/e6/site_fttbh5sll_dd2b2993.webp,219.0
Super Treasure Hunt,BMW M3 Wagon Super Treasure Hunt STH Wagons 1:64 JBC48 Green,https://retromagaz.com/uploads/products/23/ad/site_fvkud0vcv_8171b2e4.webp,2499.0
MainLine,BMW M3 Wagon Wagons 1:64 JBC48 Green,https://retromagaz.com/uploads/products/06/d6/site_fvkuu1jtt_c9fdac01.webp,229.0
MainLine,1983 Porsche 928S Muscle Mania 1:64 HYW53 Red,https://retromagaz.com/uploads/products/fd/2c/site_fvlhiv7o9_0a1d9c42.webp,229.0
MainLine,Ferrari SF90 Stradale Factory Fresh 1:64 HYY08 Grey,https://retromagaz.com/uploads/products/bb/a9/site_fvknqudm9_b508171b.webp,299.0
MainLine,'89 Mercedes-Benz 560 SEC AMG Turbo 1:64 JBB85 Blue,https://retromagaz.com/uploads/products/8b/64/site_fvlijguup_fdac01f7.webp,249.0
MainLine,BMW 635 CSi Wild Widebody 1:64 JBB84 Orange,https://retromagaz.com/uploads/products/a4/65/site_fvkockb8a_1168cfe3.webp,299.0
Premium,BMW M3 Touring Elite 64 1:64 HWR93 Blue,https://retromagaz.com/uploads/products/66/a7/site_fvefadhl3_508171b2.webp,1599.0
